SECRETARIA DA SEGURANÇA PÚBLICA,,,,,,,,,
PRINCIPAIS DELITOS - CAPITAL,,,,,,,,,
Período: 01/01/2014 à 31/12/2014,,,,,,,,,
,,,,,,,,,Uso/Porte
,,Lesão Corporal,Roubo com,,,Roubo a Ônibus,,,
Área Integrada de Segurança,Homicídio,,,Tentativa de,,,Roubo de,,Substância
,,Seguida de,Resultado Morte,,Estupro,(Urbano e em,,Furto de Veículo,
Pública - AISP,Doloso,,,Homicídio,,,Veículo,,Entorpecente
,,Morte,- (Latrocínio),,,Rodovia),,,
,,,,,,,,,(Usuários)
AISP 06 - Brotas,69,0,4,43,21,205,568,150,74
AISP 07 - Rio Vermelho,18,2,3,13,21,106,287,63,107
AISP 09 - Boca do Rio,16,1,1,12,13,57,562,64,24
AISP 12 - Itapuã,152,2,8,44,62,168,832,234,132
AISP 14 - Barra,4,1,0,1,5,33,80,28,35
AISP 15 - Nordeste,15,0,0,6,12,61,20,7,33
AISP 16 - Pituba,7,0,0,10,7,114,358,38,31
RISP ATLÂNTICO,281,6,16,129,141,744,2.707,584,436
AISP 01 - Barris,36,1,4,18,22,107,291,120,119
AISP 02 - Liberdade,124,3,3,56,35,93,545,191,56
AISP 03 - Bonfim,83,3,3,54,27,125,372,246,65
AISP 04 - São Caetano,124,2,7,26,55,149,431,85,37
AISP 05 - Periperi,235,5,6,156,82,175,395,70,52
AISP 08 - CIA,29,0,1,7,6,12,147,22,9
RISP BTS,631,14,24,317,227,661,2.181,734,338
AISP 10 - Pau da Lima,108,2,4,64,35,147,533,160,35
AISP 11 - Tancredo Neves,200,3,5,125,86,333,713,219,103
AISP 13 - Cajazeiras,101,1,1,77,43,44,239,55,18
RISP CENTRAL,409,6,10,266,164,524,1.485,434,156
TOTAL DA CAPITAL,1.321,26,50,712,532,1.929,6.373,1.752,930
Fonte: SSP-BA,,,,,,,,,
* Dados coletados em 09/10/2015 às 09h30min,,,,,,,,,
