SECRETARIA DA SEGURANÇA PÚBLICA,,,,,,,,,
PRINCIPAIS DELITOS - CAPITAL,,,,,,,,,
Período: 01/01/2016 à 31/12/2016,,,,,,,,,
,,,,,,,,,Uso/Porte
,,Lesão Corporal,Roubo com,,,Roubo a Ônibus,,,
Área Integrada de Segurança,Homicídio,,,Tentativa de,,,Roubo de,,Substância
,,Seguida de,Resultado Morte,,Estupro,(Urbano e em,,Furto de Veículo,
Pública - AISP,Doloso,,,Homicídio,,,Veículo,,Entorpecente
,,Morte,- (Latrocínio),,,Rodovia),,,
,,,,,,,,,(Usuários)
AISP 06 - Brotas,79,1,0,16,34,190,430,106,84
AISP 07 - Rio Vermelho,24,0,5,14,13,271,223,54,166
AISP 09 - Boca do Rio,30,0,1,19,28,65,490,72,69
AISP 12 - Itapuã,103,1,1,23,56,285,818,210,142
AISP 14 - Barra,2,0,0,1,5,38,63,16,57
AISP 15 - Nordeste,21,0,0,10,13,64,19,12,65
AISP 16 - Pituba,2,0,1,4,6,129,296,56,65
RISP ATLÂNTICO,261,2,8,87,155,1.042,2.339,526,648
AISP 01 - Barris,32,3,2,18,22,192,290,80,87
AISP 02 - Liberdade,107,3,5,63,13,121,456,119,45
AISP 03 - Bonfim,110,2,5,53,16,229,438,204,92
AISP 04 - São Caetano,143,1,6,51,43,231,597,117,49
AISP 05 - Periperi,220,3,3,84,88,275,454,123,57
AISP 08 - CIA,47,0,0,12,7,8,150,4,39
RISP BTS,659,12,21,281,189,1.056,2.385,647,369
AISP 10 - Pau da Lima,123,1,0,20,28,105,572,170,35
AISP 11 - Tancredo Neves,152,6,7,45,47,338,638,223,189
AISP 13 - Cajazeiras,94,1,2,36,28,74,285,76,41
RISP CENTRAL,369,8,9,101,103,517,1.495,469,265
TOTAL DA CAPITAL,1.289,22,38,469,447,2.615,6.219,1.642,1.282
Fonte: SSP-BA,,,,,,,,,
* Dados coletados em 09/05/2017 às 14h00min,,,,,,,,,
