SECRETARIA DA SEGURANÇA PÚBLICA,,,,,,,,,
PRINCIPAIS DELITOS - CAPITAL,,,,,,,,,
Período: 01/01/2017 à 31/12/2017,,,,,,,,,
,,,,,,,,,Uso/Porte
,,Lesão Corporal,Roubo com,,,Roubo a Ônibus,,,
Área Integrada de Segurança,Homicídio,,,Tentativa de,,,Roubo de,,Substância
,,Seguida de,Resultado Morte,,Estupro,(Urbano e em,,Furto de Veículo,
Pública - AISP,Doloso,,,Homicídio,,,Veículo,,Entorpecente
,,Morte,- (Latrocínio),,,Rodovia),,,
,,,,,,,,,(Usuários)
AISP 06 - Brotas,72,1,1,26,32,188,408,107,99
AISP 07 - Rio Vermelho,32,0,3,28,24,159,241,63,120
AISP 09 - Boca do Rio,34,0,1,23,25,44,508,115,99
AISP 12 - Itapuã,127,2,2,25,64,213,687,185,120
AISP 14 - Barra,3,0,1,3,4,17,102,31,45
AISP 15 - Nordeste,30,0,0,14,4,23,8,5,62
AISP 16 - Pituba,6,0,1,2,16,183,293,97,102
RISP ATLÂNTICO,304,3,9,121,169,827,2.247,603,647
AISP 01 - Barris,36,3,2,18,21,175,242,99,150
AISP 02 - Liberdade,116,1,1,83,27,98,426,94,41
AISP 03 - Bonfim,91,1,4,46,52,327,282,191,93
AISP 04 - São Caetano,131,1,4,43,39,289,489,92,55
AISP 05 - Periperi,243,0,5,96,82,342,423,81,104
AISP 08 - CIA,34,1,0,14,6,38,134,9,111
RISP BTS,651,7,16,300,227,1.269,1.996,566,554
AISP 10 - Pau da Lima,128,1,3,32,48,87,495,137,23
AISP 11 - Tancredo Neves,135,1,4,49,84,347,629,209,230
AISP 13 - Cajazeiras,128,0,4,21,48,85,366,50,79
RISP CENTRAL,391,2,11,102,180,519,1.490,396,332
TOTAL DA CAPITAL,1.346,12,36,523,576,2.615,5.733,1.565,1.533
Fonte: SSP-BA,,,,,,,,,
* Dados coletados em 28/03/2018 às 16h10min,,,,,,,,,
